image,landmark_id
00001ae42cd00356,172552
00001b2ba2c69ac5,91402
0000341f232b1354,193738
0000c8cb9f609e7a,62808
0000fc82f5f2440a,55058
00018c9815dc97d5,150408
0002272575ca2b45,159124
00024ea6140f4221,136
00028b16d01622f4,125827
0002ebb7f1b0c8f3,121737
0002ee5ce162ae53,104088
00035bd29ecb908f,170519
0003c4c562c6d5aa,68121
00042b8e316fbb45,41291
0005305269731be0,202143
00055543ba94856a,133534
00058231371c3906,136338
0007843eab0cfc66,134339
0007c16baad16407,138664
000820345a1ad105,32539
00083b1c89b27cc3,54188
0009f273bf9715c8,200128
000a0863f0c826d0,169297
000a350223f0d81e,55450
000a5a4e06dd25ec,100713
000a7926bfa76f11,43142
000ad173f782a5a2,147990
000aee815610b57d,127628
000b70d1135190f0,104578
000c4a6c5c7c5da5,80263
000cb4643645a71d,127169
000d4e3e39c83bf7,153520
000e338f075cbae3,43173
000e604c904d58db,51212
000fdef0a252abe0,33674
00100b5252453ed9,155407
001051e1769d7d79,10979
001063e68e563665,9738
001087b0403a3bb6,154079
0010b350be0e7b1f,113518
00112fc4f42cba81,153527
00114e6daf6fcceb,103997
00115b216335307e,202433
0011982dd5a59c85,189921
0012bbb368bf9c79,16236
0013147f0e176227,98657
00138f81701a273e,148906
0013ddd5a5c91504,76203
00144d2095ca782f,48450
0014cff04f2da299,193340
0015b650cf516789,197884
00160e83cb146faf,76818
001610f170595c7f,11729
00161a684d8daf26,176137
001652736919b0da,157893
00172cb6e4c9471a,193668
001734942478bf25,52494
00175b85b52bda1a,7283
0017b4674052c836,170651
0017b88a2b54d958,69627
001802d2ed6607be,14699
0018fe2ebe2fa5a5,172063
001922564292b19c,101763
00196adb56c19227,28491
0019dca855887be8,70088
0019faa3fcaa9642,63599
001a3accffd2362c,118514
001a6c747cce8ad7,177677
001aaf2d8bd0a8e8,121864
001ac5c60bdba6bc,60349
001c09ddba87950f,169747
001cdaa6e58ec3d3,16457
001d38cd5f6f58ea,83110
001d650c94d49572,34306
001d685511497581,195098
001e58359971ba92,23176
001e6cf1256a5c0c,167092
001e7bab4cec728a,157246
001ed9c96fb0522c,181510
001f187e331c8f25,23846
001f99cefedad2f6,126378
0020097a57a86549,34329
002034f5ec4386a6,181270
002046e3658758d8,161539
00207daf132afff1,39533
00218dca13efdc83,22941
0021efae3100e78c,70756
002216160380c40e,19359
002457a56a69b6f8,148825
0024f6d2c98d8e09,185230
0025487c1ae5e772,24663
00259a876c731d9e,184517
00261324328490fc,141960
0028eb89eec15006,33458
0028f58483cc0169,114581
002a196a7a4d4e48,90864
002aa5e5da635a04,118233
002ac2e5feb23cce,35801
002cac2ec505ff92,72074
002d5d7f2a77d746,123166
002df6674b3d0e25,193445
002e114c818ce64c,111490
002ffdb44e0d8daf,40809
0030033a68451af2,160200
00300b3134a9fd65,130205
00302d759d32340c,119802
00306ec249f4f9bb,119020
0030f449296dda8c,38584
00313084f74290eb,63350
0031a94619ea6f93,142777
0031b293ccc38caa,186632
00320dc02253fe80,30422
003228c13e72678e,179787
003313abc40b99f3,54550
00331710cd479d1b,47893
0033276f73e5e9f8,185896
00333bb620f0288d,70326
00336b220fc09c3f,78808
0033cbd280bea50f,196154
0033e524fcadae73,89480
00344a8a9b0dbcb5,120649
0034f3eafa30d4e0,110007
0035394e2da15c05,31242
0035409ff7aa8fd5,96236
0035731a531ce308,74052
0035b9bbd7e8620a,167527
0035bcf1e4a2ba0b,86757
0035e4aae41c6e4b,155391
00369dfa95b485c3,188885
00370d16133fa892,56324
00372ff36f2cc88a,189441
0037b7c87b5737e7,24110
0037bab7c55d6059,169271
003924e2157c4b41,65237
0039c6afdbdf6823,114561
0039c9f63d18ad33,193258
003a3024ef9b5c82,97173
003a41f4c7f4228e,125827
003a82359eff9312,90911
003acceb9d66f92e,170288
003b4a46cae31f99,201920
003bbb09080a4837,72624
003caf94a39d09aa,82508
003cd622cca2c34f,28868
003d28a0727077bf,159498
003d2c9c49ef0f3a,197838
003d57fbe6b047c4,144689
003e24307c889151,184007
003e985f6686c98a,85580
003f0a273af2fdb6,194659
